Species,Bill Length,Bill Depth,Flipper Length,Body Mass,Sex
Adelie,40.2,17.0,176.0,3450.0,FEMALE
Adelie,35.2,15.9,186.0,3050.0,FEMALE
Adelie,38.8,17.6,191.0,3275.0,FEMALE
Adelie,39.0,17.1,191.0,3050.0,FEMALE
Adelie,38.5,17.9,190.0,3325.0,FEMALE
Adelie,36.8,18.5,193.0,3500.0,FEMALE
Adelie,38.1,17.6,187.0,3425.0,FEMALE
Adelie,35.6,17.5,191.0,3175.0,FEMALE
Adelie,37.0,16.5,185.0,3400.0,FEMALE
Adelie,40.2,17.1,193.0,3400.0,FEMALE
Adelie,32.1,15.5,188.0,3050.0,FEMALE
Adelie,37.3,16.8,192.0,3000.0,FEMALE
Adelie,36.6,18.4,184.0,3475.0,FEMALE
Adelie,36.0,17.8,195.0,3450.0,FEMALE
Adelie,36.0,17.1,187.0,3700.0,FEMALE
Gentoo,46.1,13.2,211.0,4500.0,FEMALE
Gentoo,48.7,14.1,210.0,4450.0,FEMALE
Gentoo,46.5,13.5,210.0,4550.0,FEMALE
Gentoo,45.4,14.6,211.0,4800.0,FEMALE
Gentoo,43.3,13.4,209.0,4400.0,FEMALE
Gentoo,40.9,13.7,214.0,4650.0,FEMALE
Gentoo,45.5,13.7,214.0,4650.0,FEMALE
Gentoo,45.8,14.6,210.0,4200.0,FEMALE
Gentoo,42.0,13.5,210.0,4150.0,FEMALE
Gentoo,46.2,14.5,209.0,4800.0,FEMALE
Gentoo,45.1,14.5,215.0,5000.0,FEMALE
Gentoo,46.5,14.5,213.0,4400.0,FEMALE
Gentoo,42.9,13.1,215.0,5000.0,FEMALE
Gentoo,48.2,14.3,210.0,4600.0,FEMALE
Gentoo,42.8,14.2,209.0,4700.0,FEMALE
Gentoo,45.1,14.5,207.0,5050.0,FEMALE
Gentoo,49.1,14.8,220.0,5150.0,FEMALE
Gentoo,42.6,13.7,213.0,4950.0,FEMALE
Gentoo,44.0,13.6,208.0,4350.0,FEMALE
Gentoo,42.7,13.7,208.0,3950.0,FEMALE
Gentoo,45.3,13.7,210.0,4300.0,FEMALE
Gentoo,43.6,13.9,217.0,4900.0,FEMALE
Gentoo,45.5,13.9,210.0,4200.0,FEMALE
Gentoo,44.9,13.3,213.0,5100.0,FEMALE
Gentoo,46.6,14.2,210.0,4850.0,FEMALE
Gentoo,45.1,14.4,210.0,4400.0,FEMALE
Gentoo,46.5,14.4,217.0,4900.0,FEMALE
Gentoo,43.8,13.9,208.0,4300.0,FEMALE
Gentoo,43.2,14.5,208.0,4450.0,FEMALE
Gentoo,45.3,13.8,208.0,4200.0,FEMALE
Gentoo,45.7,13.9,214.0,4400.0,FEMALE
Gentoo,45.8,14.2,219.0,4700.0,FEMALE
Gentoo,43.5,14.2,220.0,4700.0,FEMALE
Gentoo,47.7,15.0,216.0,4750.0,FEMALE
Gentoo,46.5,14.8,217.0,5200.0,FEMALE
Gentoo,46.4,15.0,216.0,4700.0,FEMALE
Gentoo,47.5,14.2,209.0,4600.0,FEMALE
Gentoo,45.2,13.8,215.0,4750.0,FEMALE
Gentoo,49.1,14.5,212.0,4625.0,FEMALE
Gentoo,47.4,14.6,212.0,4725.0,FEMALE
Gentoo,44.9,13.8,212.0,4750.0,FEMALE
Gentoo,43.4,14.4,218.0,4600.0,FEMALE
Gentoo,47.5,14.0,212.0,4875.0,FEMALE
Gentoo,47.5,15.0,218.0,4950.0,FEMALE
Gentoo,45.5,14.5,212.0,4750.0,FEMALE
Gentoo,44.5,14.7,214.0,4850.0,FEMALE
Gentoo,46.9,14.6,222.0,4875.0,FEMALE
Gentoo,48.4,14.4,203.0,4625.0,FEMALE
Gentoo,48.5,15.0,219.0,4850.0,FEMALE
Gentoo,47.2,15.5,215.0,4975.0,FEMALE
Gentoo,41.7,14.7,210.0,4700.0,FEMALE
Gentoo,43.3,14.0,208.0,4575.0,FEMALE
Gentoo,50.5,15.2,216.0,5000.0,FEMALE
Gentoo,43.5,15.2,213.0,4650.0,FEMALE
Gentoo,46.2,14.1,217.0,4375.0,FEMALE
Gentoo,47.2,13.7,214.0,4925.0,FEMALE
Gentoo,46.8,14.3,215.0,4850.0,FEMALE
Gentoo,45.2,14.8,212.0,5200.0,FEMALE
Chinstrap,46.5,17.9,192.0,3500.0,FEMALE
Chinstrap,45.4,18.7,188.0,3525.0,FEMALE
Chinstrap,45.2,17.8,198.0,3950.0,FEMALE
Chinstrap,46.1,18.2,178.0,3250.0,FEMALE
Chinstrap,46.0,18.9,195.0,4150.0,FEMALE
Chinstrap,46.6,17.8,193.0,3800.0,FEMALE
Chinstrap,47.0,17.3,185.0,3700.0,FEMALE
Chinstrap,45.9,17.1,190.0,3575.0,FEMALE
Chinstrap,58.0,17.8,181.0,3700.0,FEMALE
Chinstrap,46.4,18.6,190.0,3450.0,FEMALE
Chinstrap,42.4,17.3,181.0,3600.0,FEMALE
Chinstrap,43.2,16.6,187.0,2900.0,FEMALE
Chinstrap,46.7,17.9,195.0,3300.0,FEMALE
Chinstrap,50.5,18.4,200.0,3400.0,FEMALE
Chinstrap,46.4,17.8,191.0,3700.0,FEMALE
Chinstrap,40.9,16.6,187.0,3200.0,FEMALE
Chinstrap,42.5,16.7,187.0,3350.0,FEMALE
Chinstrap,47.5,16.8,199.0,3900.0,FEMALE
Chinstrap,47.6,18.3,195.0,3850.0,FEMALE
Chinstrap,46.9,16.6,192.0,2700.0,FEMALE
Chinstrap,46.2,17.5,187.0,3650.0,FEMALE
Chinstrap,45.5,17.0,196.0,3500.0,FEMALE
Chinstrap,50.9,17.9,196.0,3675.0,FEMALE
Chinstrap,50.1,17.9,190.0,3400.0,FEMALE
Chinstrap,49.8,17.3,198.0,3675.0,FEMALE
Chinstrap,48.1,16.4,199.0,3325.0,FEMALE
Chinstrap,45.7,17.3,193.0,3600.0,FEMALE
Chinstrap,42.5,17.3,187.0,3350.0,FEMALE
Chinstrap,45.2,16.6,191.0,3250.0,FEMALE
Chinstrap,45.6,19.4,194.0,3525.0,FEMALE
Chinstrap,46.8,16.5,189.0,3650.0,FEMALE
Chinstrap,45.7,17.0,195.0,3650.0,FEMALE
Chinstrap,43.5,18.1,202.0,3400.0,FEMALE
Chinstrap,50.2,18.7,198.0,3775.0,FEMALE
