Species,Bill Length,Bill Depth,Flipper Length,Body Mass,Sex
Chinstrap,50.0,19.5,196.0,3900.0,MALE
Chinstrap,51.3,19.2,193.0,3650.0,MALE
Chinstrap,52.7,19.8,197.0,3725.0,MALE
Chinstrap,51.3,18.2,197.0,3750.0,MALE
Chinstrap,51.3,19.9,198.0,3700.0,MALE
Chinstrap,51.7,20.3,194.0,3775.0,MALE
Chinstrap,52.0,18.1,201.0,4050.0,MALE
Chinstrap,50.5,19.6,201.0,4050.0,MALE
Chinstrap,50.3,20.0,197.0,3300.0,MALE
Chinstrap,49.2,18.2,195.0,4400.0,MALE
Chinstrap,48.5,17.5,191.0,3400.0,MALE
Chinstrap,50.6,19.4,193.0,3800.0,MALE
Chinstrap,52.0,19.0,197.0,4150.0,MALE
Chinstrap,49.5,19.0,200.0,3800.0,MALE
Chinstrap,52.8,20.0,205.0,4550.0,MALE
Chinstrap,54.2,20.8,201.0,4300.0,MALE
Chinstrap,51.0,18.8,203.0,4100.0,MALE
Chinstrap,49.7,18.6,195.0,3600.0,MALE
Chinstrap,52.0,20.7,210.0,4800.0,MALE
Chinstrap,53.5,19.9,205.0,4500.0,MALE
Chinstrap,49.0,19.5,210.0,3950.0,MALE
Chinstrap,50.9,19.1,196.0,3550.0,MALE
Chinstrap,50.8,18.5,201.0,4450.0,MALE
Chinstrap,49.0,19.6,212.0,4300.0,MALE
Chinstrap,51.5,18.7,187.0,3250.0,MALE
Chinstrap,51.4,19.0,201.0,3950.0,MALE
Chinstrap,50.7,19.7,203.0,4050.0,MALE
Chinstrap,52.2,18.8,197.0,3450.0,MALE
Chinstrap,49.3,19.9,203.0,4050.0,MALE
Chinstrap,50.2,18.8,202.0,3800.0,MALE
Chinstrap,51.9,19.5,206.0,3950.0,MALE
Chinstrap,55.8,19.8,207.0,4000.0,MALE
Chinstrap,49.6,18.2,193.0,3775.0,MALE
Chinstrap,50.8,19.0,210.0,4100.0,MALE
