Name,Value,Year,Type,Gender
Caius,1595.0,2021,Rank,Boy
Caleb,76.0,2021,Rank,Boy
Callan,985.0,2021,Rank,Boy
Callum,186.0,2021,Rank,Boy
Calum,1984.0,2021,Rank,Boy
Calvin,641.0,2021,Rank,Boy
Cameron,194.0,2021,Rank,Boy
Campbell,2493.0,2021,Rank,Boy
Camron,3451.0,2021,Rank,Boy
Caolan,1782.0,2021,Rank,Boy
Carl,1984.0,2021,Rank,Boy
Carlo,1078.0,2021,Rank,Boy
Carlos,1218.0,2021,Rank,Boy
Carlton,3017.0,2021,Rank,Boy
Carson,305.0,2021,Rank,Boy
Carter,69.0,2021,Rank,Boy
Casey,344.0,2021,Rank,Boy
Caspar,509.0,2021,Rank,Boy
Casper,210.0,2021,Rank,Boy
Cassidy,1688.0,2021,Rank,Boy
Cassius,278.0,2021,Rank,Boy
Cedric,1516.0,2021,Rank,Boy
Chad,3990.0,2021,Rank,Boy
Chaim,771.0,2021,Rank,Boy
Chance,1218.0,2021,Rank,Boy
Charlee,3990.0,2021,Rank,Boy
Charles,91.0,2021,Rank,Boy
Charley,2301.0,2021,Rank,Boy
Charlie,14.0,2021,Rank,Boy
Chase,370.0,2021,Rank,Boy
Chay,2730.0,2021,Rank,Boy
Che,1448.0,2021,Rank,Boy
Chester,87.0,2021,Rank,Boy
Chris,1078.0,2021,Rank,Boy
Christian,248.0,2021,Rank,Boy
Christopher,191.0,2021,Rank,Boy
Christos,1448.0,2021,Rank,Boy
Cian,333.0,2021,Rank,Boy
Ciaran,871.0,2021,Rank,Boy
Cillian,274.0,2021,Rank,Boy
Clark,751.0,2021,Rank,Boy
Clarke,1448.0,2021,Rank,Boy
Clay,566.0,2021,Rank,Boy
Clayton,672.0,2021,Rank,Boy
Clement,1448.0,2021,Rank,Boy
Clive,3990.0,2021,Rank,Boy
Cobi,1860.0,2021,Rank,Boy
Coby,278.0,2021,Rank,Boy
Codie,1595.0,2021,Rank,Boy
Cody,126.0,2021,Rank,Boy
Cohen,446.0,2021,Rank,Boy
Colby,333.0,2021,Rank,Boy
Cole,204.0,2021,Rank,Boy
Colin,888.0,2021,Rank,Boy
Conall,1290.0,2021,Rank,Boy
Conan,1023.0,2021,Rank,Boy
Conner,2493.0,2021,Rank,Boy
Connor,180.0,2021,Rank,Boy
Conor,288.0,2021,Rank,Boy
Conrad,1448.0,2021,Rank,Boy
Corey,312.0,2021,Rank,Boy
Corin,2125.0,2021,Rank,Boy
Cormac,1078.0,2021,Rank,Boy
Cornelius,2493.0,2021,Rank,Boy
Cory,841.0,2021,Rank,Boy
Cosmo,751.0,2021,Rank,Boy
Craig,1688.0,2021,Rank,Boy
Cristian,738.0,2021,Rank,Boy
Curtis,790.0,2021,Rank,Boy
Cyrus,650.0,2021,Rank,Boy
Daanish,4789.0,2021,Rank,Boy
Dale,2301.0,2021,Rank,Boy
Dalton,719.0,2021,Rank,Boy
Damian,284.0,2021,Rank,Boy
Damien,682.0,2021,Rank,Boy
Damion,3451.0,2021,Rank,Boy
Damon,907.0,2021,Rank,Boy
Dan,1782.0,2021,Rank,Boy
Dane,2730.0,2021,Rank,Boy
Danial,3451.0,2021,Rank,Boy
Daniel,54.0,2021,Rank,Boy
Danish,2125.0,2021,Rank,Boy
Daniyal,688.0,2021,Rank,Boy
Danny,384.0,2021,Rank,Boy
Dante,543.0,2021,Rank,Boy
Danyaal,3451.0,2021,Rank,Boy
Danyal,825.0,2021,Rank,Boy
Darcy,1782.0,2021,Rank,Boy
Darian,1329.0,2021,Rank,Boy
Dario,907.0,2021,Rank,Boy
Darius,340.0,2021,Rank,Boy
Darnell,4789.0,2021,Rank,Boy
Darragh,1117.0,2021,Rank,Boy
Darren,1329.0,2021,Rank,Boy
Daryl,3451.0,2021,Rank,Boy
Daud,1595.0,2021,Rank,Boy
David,62.0,2021,Rank,Boy
Dawood,1078.0,2021,Rank,Boy
Dawud,395.0,2021,Rank,Boy
Deacon,659.0,2021,Rank,Boy
Dean,592.0,2021,Rank,Boy
Declan,390.0,2021,Rank,Boy
Denis,337.0,2021,Rank,Boy
Deniz,641.0,2021,Rank,Boy
Dennis,356.0,2021,Rank,Boy
Denny,704.0,2021,Rank,Boy
Denver,738.0,2021,Rank,Boy
Denzel,1184.0,2021,Rank,Boy
Deon,1055.0,2021,Rank,Boy
Derek,1329.0,2021,Rank,Boy
Desmond,1984.0,2021,Rank,Boy
Dev,1078.0,2021,Rank,Boy
Devan,1329.0,2021,Rank,Boy
Deven,3017.0,2021,Rank,Boy
Devin,1290.0,2021,Rank,Boy
Devon,1023.0,2021,Rank,Boy
Devonte,3990.0,2021,Rank,Boy
Dewi,1218.0,2021,Rank,Boy
Dexter,133.0,2021,Rank,Boy
Dhillon,3990.0,2021,Rank,Boy
Dhruv,871.0,2021,Rank,Boy
Diego,433.0,2021,Rank,Boy
Dilan,907.0,2021,Rank,Boy
Dillan,1860.0,2021,Rank,Boy
Dillon,598.0,2021,Rank,Boy
Dimitri,2493.0,2021,Rank,Boy
Dion,537.0,2021,Rank,Boy
Dominic,114.0,2021,Rank,Boy
Dominick,2730.0,2021,Rank,Boy
Dominik,318.0,2021,Rank,Boy
Don,4789.0,2021,Rank,Boy
Donald,2493.0,2021,Rank,Boy
Donovan,1984.0,2021,Rank,Boy
Donte,3451.0,2021,Rank,Boy
Douglas,227.0,2021,Rank,Boy
Dovid,2125.0,2021,Rank,Boy
Dre,2730.0,2021,Rank,Boy
Drew,790.0,2021,Rank,Boy
Duncan,1782.0,2021,Rank,Boy
Dwayne,1984.0,2021,Rank,Boy
Dyfan,1984.0,2021,Rank,Boy
Dylan,57.0,2021,Rank,Boy
Eamon,3017.0,2021,Rank,Boy
Eben,985.0,2021,Rank,Boy
Ebenezer,1688.0,2021,Rank,Boy
Ebrahim,1688.0,2021,Rank,Boy
Edan,1391.0,2021,Rank,Boy
Eddie,219.0,2021,Rank,Boy
Eddy,1448.0,2021,Rank,Boy
Eden,225.0,2021,Rank,Boy
Edgar,888.0,2021,Rank,Boy
Ediz,3451.0,2021,Rank,Boy
Edmund,784.0,2021,Rank,Boy
Eduardo,1139.0,2021,Rank,Boy
Edward,29.0,2021,Rank,Boy
Edwin,526.0,2021,Rank,Boy
Ehsan,1516.0,2021,Rank,Boy
Eli,105.0,2021,Rank,Boy
Elias,109.0,2021,Rank,Boy
Eliezer,1984.0,2021,Rank,Boy
Elijah,33.0,2021,Rank,Boy
Eliot,1290.0,2021,Rank,Boy
Eliott,1984.0,2021,Rank,Boy
Elis,317.0,2021,Rank,Boy
Elisha,1290.0,2021,Rank,Boy
Elliot,89.0,2021,Rank,Boy
Elliott,107.0,2021,Rank,Boy
Ellis,88.0,2021,Rank,Boy
Elvis,1004.0,2021,Rank,Boy
Emanuel,841.0,2021,Rank,Boy
Emerson,632.0,2021,Rank,Boy
Emil,695.0,2021,Rank,Boy
Emile,985.0,2021,Rank,Boy
Emilio,537.0,2021,Rank,Boy
Emir,688.0,2021,Rank,Boy
Emmanuel,362.0,2021,Rank,Boy
Emre,907.0,2021,Rank,Boy
Emyr,4789.0,2021,Rank,Boy
Enrico,1782.0,2021,Rank,Boy
Enzo,151.0,2021,Rank,Boy
Eoghan,1984.0,2021,Rank,Boy
Eoin,784.0,2021,Rank,Boy
Ephraim,1595.0,2021,Rank,Boy
Eren,1078.0,2021,Rank,Boy
Eric,132.0,2021,Rank,Boy
Erik,310.0,2021,Rank,Boy
Ernest,305.0,2021,Rank,Boy
Ethan,43.0,2021,Rank,Boy
Etienne,1078.0,2021,Rank,Boy
Euan,650.0,2021,Rank,Boy
Eugene,1290.0,2021,Rank,Boy
Evan,158.0,2021,Rank,Boy
Ewan,395.0,2021,Rank,Boy
Ezekiel,244.0,2021,Rank,Boy
Ezra,51.0,2021,Rank,Boy
Fabian,416.0,2021,Rank,Boy
Fabio,1516.0,2021,Rank,Boy
Fahad,1139.0,2021,Rank,Boy
Faheem,2730.0,2021,Rank,Boy
Fahim,3017.0,2021,Rank,Boy
Faisal,1391.0,2021,Rank,Boy
Faiz,1984.0,2021,Rank,Boy
Faizaan,2125.0,2021,Rank,Boy
Faizan,939.0,2021,Rank,Boy
Farhan,1078.0,2021,Rank,Boy
Faris,577.0,2021,Rank,Boy
Federico,1078.0,2021,Rank,Boy
Felipe,3017.0,2021,Rank,Boy
Felix,71.0,2021,Rank,Boy
Fenn,1688.0,2021,Rank,Boy
Fenton,2301.0,2021,Rank,Boy
Fergus,577.0,2021,Rank,Boy
Filip,187.0,2021,Rank,Boy
Finbar,3017.0,2021,Rank,Boy
Findlay,1782.0,2021,Rank,Boy
Finlay,180.0,2021,Rank,Boy
Finley,19.0,2021,Rank,Boy
Finn,72.0,2021,Rank,Boy
Finnian,907.0,2021,Rank,Boy
Fintan,2730.0,2021,Rank,Boy
Fionn,610.0,2021,Rank,Boy
Fletcher,337.0,2021,Rank,Boy
Floyd,2493.0,2021,Rank,Boy
Flynn,227.0,2021,Rank,Boy
Francesco,641.0,2021,Rank,Boy
Francis,215.0,2021,Rank,Boy
Francisco,841.0,2021,Rank,Boy
Frank,192.0,2021,Rank,Boy
Frankie,65.0,2021,Rank,Boy
Franklin,260.0,2021,Rank,Boy
Fraser,284.0,2021,Rank,Boy
Frazer,854.0,2021,Rank,Boy
Fred,569.0,2021,Rank,Boy
Freddie,12.0,2021,Rank,Boy
Freddy,293.0,2021,Rank,Boy
Frederic,1250.0,2021,Rank,Boy
Frederick,61.0,2021,Rank,Boy
Frederik,1329.0,2021,Rank,Boy
Fredrick,650.0,2021,Rank,Boy
Furqan,3451.0,2021,Rank,Boy
Fynn,939.0,2021,Rank,Boy
Gabriel,77.0,2021,Rank,Boy
Gareth,3451.0,2021,Rank,Boy
Gary,1329.0,2021,Rank,Boy
Gavin,1329.0,2021,Rank,Boy
Geoffrey,1860.0,2021,Rank,Boy
George,3.0,2021,Rank,Boy
Georgie,543.0,2021,Rank,Boy
Georgios,1391.0,2021,Rank,Boy
Gerald,2493.0,2021,Rank,Boy
Gerard,1184.0,2021,Rank,Boy
Gerry,3017.0,2021,Rank,Boy
Ghulam,3990.0,2021,Rank,Boy
Giacomo,2125.0,2021,Rank,Boy
Gian,1860.0,2021,Rank,Boy
Gianluca,1984.0,2021,Rank,Boy
Gianni,1860.0,2021,Rank,Boy
Gideon,939.0,2021,Rank,Boy
Gilbert,1218.0,2021,Rank,Boy
Giles,2493.0,2021,Rank,Boy
Gino,1860.0,2021,Rank,Boy
Giorgio,985.0,2021,Rank,Boy
Giovanni,659.0,2021,Rank,Boy
Giuseppe,2125.0,2021,Rank,Boy
Glen,4789.0,2021,Rank,Boy
Gordon,2125.0,2021,Rank,Boy
Graham,1391.0,2021,Rank,Boy
Grant,2301.0,2021,Rank,Boy
Gregor,3017.0,2021,Rank,Boy
Gregory,1078.0,2021,Rank,Boy
Griffin,871.0,2021,Rank,Boy
Gruffudd,2493.0,2021,Rank,Boy
Gruffydd,784.0,2021,Rank,Boy
Gurveer,1595.0,2021,Rank,Boy
Gus,815.0,2021,Rank,Boy
Guto,1860.0,2021,Rank,Boy
Guy,825.0,2021,Rank,Boy
Gwilym,1448.0,2021,Rank,Boy
Gwion,2125.0,2021,Rank,Boy
Haaris,888.0,2021,Rank,Boy
Habib,1516.0,2021,Rank,Boy
Hadi,610.0,2021,Rank,Boy
Hadley,461.0,2021,Rank,Boy
Haidar,1860.0,2021,Rank,Boy
Haiden,1595.0,2021,Rank,Boy
Haider,385.0,2021,Rank,Boy
Hakeem,704.0,2021,Rank,Boy
Hakim,1117.0,2021,Rank,Boy
Hal,2493.0,2021,Rank,Boy
Hamad,2301.0,2021,Rank,Boy
Hamid,2301.0,2021,Rank,Boy
Hamish,401.0,2021,Rank,Boy
Hammad,1139.0,2021,Rank,Boy
Hamza,198.0,2021,Rank,Boy
Hamzah,641.0,2021,Rank,Boy
Hanad,4789.0,2021,Rank,Boy
Hani,2493.0,2021,Rank,Boy
Hans,3017.0,2021,Rank,Boy
Hari,520.0,2021,Rank,Boy
Haris,323.0,2021,Rank,Boy
Harish,3990.0,2021,Rank,Boy
Harley,115.0,2021,Rank,Boy
Harman,1860.0,2021,Rank,Boy
Harold,1782.0,2021,Rank,Boy
Haroon,659.0,2021,Rank,Boy
Harri,407.0,2021,Rank,Boy
Harris,319.0,2021,Rank,Boy
Harrison,49.0,2021,Rank,Boy
Harry,7.0,2021,Rank,Boy
Harun,888.0,2021,Rank,Boy
Harveer,2125.0,2021,Rank,Boy
Harvey,95.0,2021,Rank,Boy
Harvie,2125.0,2021,Rank,Boy
Harvir,3017.0,2021,Rank,Boy
Hasan,605.0,2021,Rank,Boy
Haseeb,1516.0,2021,Rank,Boy
Hashim,514.0,2021,Rank,Boy
Hasnain,1078.0,2021,Rank,Boy
Hassan,305.0,2021,Rank,Boy
Hayden,266.0,2021,Rank,Boy
Haydn,1782.0,2021,Rank,Boy
Hector,257.0,2021,Rank,Boy
Henri,672.0,2021,Rank,Boy
Henry,10.0,2021,Rank,Boy
Herbert,815.0,2021,Rank,Boy
Herbie,688.0,2021,Rank,Boy
Hisham,1860.0,2021,Rank,Boy
Howard,1860.0,2021,Rank,Boy
Hubert,815.0,2021,Rank,Boy
Hudson,59.0,2021,Rank,Boy
Hugh,431.0,2021,Rank,Boy
Hugo,45.0,2021,Rank,Boy
Humphrey,1984.0,2021,Rank,Boy
Humza,1516.0,2021,Rank,Boy
Hunter,60.0,2021,Rank,Boy
Husain,2493.0,2021,Rank,Boy
Huseyin,2301.0,2021,Rank,Boy
Husnain,1688.0,2021,Rank,Boy
Hussain,406.0,2021,Rank,Boy
Hussein,1055.0,2021,Rank,Boy
Huw,1078.0,2021,Rank,Boy
Huzaifa,556.0,2021,Rank,Boy
Huzaifah,1117.0,2021,Rank,Boy
Hywel,3017.0,2021,Rank,Boy
Ian,551.0,2021,Rank,Boy
Ibraheem,439.0,2021,Rank,Boy
Ibrahim,102.0,2021,Rank,Boy
Idrees,450.0,2021,Rank,Boy
Idris,171.0,2021,Rank,Boy
Iestyn,1516.0,2021,Rank,Boy
Ieuan,1688.0,2021,Rank,Boy
Ihsaan,1860.0,2021,Rank,Boy
Ihsan,1595.0,2021,Rank,Boy
Ilyas,310.0,2021,Rank,Boy
Imad,3451.0,2021,Rank,Boy
Immanuel,1329.0,2021,Rank,Boy
Imran,641.0,2021,Rank,Boy
Inigo,2493.0,2021,Rank,Boy
Ioan,556.0,2021,Rank,Boy
Ioannis,1448.0,2021,Rank,Boy
Iolo,3451.0,2021,Rank,Boy
Irfan,3451.0,2021,Rank,Boy
Isa,365.0,2021,Rank,Boy
Isaac,25.0,2021,Rank,Boy
Isaak,2493.0,2021,Rank,Boy
Isaiah,172.0,2021,Rank,Boy
Ishan,1448.0,2021,Rank,Boy
Ishaq,738.0,2021,Rank,Boy
Ishmael,1860.0,2021,Rank,Boy
Ismaeel,439.0,2021,Rank,Boy
Ismael,751.0,2021,Rank,Boy
Ismail,316.0,2021,Rank,Boy
Israel,618.0,2021,Rank,Boy
Issa,659.0,2021,Rank,Boy
Issac,433.0,2021,Rank,Boy
Ivan,284.0,2021,Rank,Boy
Ivo,729.0,2021,Rank,Boy
Iwan,1860.0,2021,Rank,Boy
Izaac,1984.0,2021,Rank,Boy
Izaak,2301.0,2021,Rank,Boy
Izak,2493.0,2021,Rank,Boy
Jac,551.0,2021,Rank,Boy
Jack,13.0,2021,Rank,Boy
Jackson,97.0,2021,Rank,Boy
Jacob,17.0,2021,Rank,Boy
Jacques,2493.0,2021,Rank,Boy
Jaden,627.0,2021,Rank,Boy
Jago,482.0,2021,Rank,Boy
Jai,751.0,2021,Rank,Boy
Jaiden,539.0,2021,Rank,Boy
Jaime,1516.0,2021,Rank,Boy
Jak,2125.0,2021,Rank,Boy
Jake,108.0,2021,Rank,Boy
Jakob,729.0,2021,Rank,Boy
Jakub,274.0,2021,Rank,Boy
Jalal,3017.0,2021,Rank,Boy
Jamaal,1782.0,2021,Rank,Boy
Jamal,695.0,2021,Rank,Boy
Jameel,1516.0,2021,Rank,Boy
James,30.0,2021,Rank,Boy
Jamie,159.0,2021,Rank,Boy
Jamie-Lee,3451.0,2021,Rank,Boy
Jamil,1782.0,2021,Rank,Boy
Jan,370.0,2021,Rank,Boy
Jared,1078.0,2021,Rank,Boy
Jarvis,2125.0,2021,Rank,Boy
Jaskaran,3990.0,2021,Rank,Boy
Jason,210.0,2021,Rank,Boy
Jasper,79.0,2021,Rank,Boy
Jasraj,3017.0,2021,Rank,Boy
Javier,1184.0,2021,Rank,Boy
Jawad,1782.0,2021,Rank,Boy
Jay,477.0,2021,Rank,Boy
Jayden,104.0,2021,Rank,Boy
Jaydon,1290.0,2021,Rank,Boy
Jayson,871.0,2021,Rank,Boy
Jean,2301.0,2021,Rank,Boy
Jed,1595.0,2021,Rank,Boy
Jeevan,784.0,2021,Rank,Boy
Jefferson,4789.0,2021,Rank,Boy
Jeffrey,1595.0,2021,Rank,Boy
Jem,2493.0,2021,Rank,Boy
Jensen,272.0,2021,Rank,Boy
Jenson,103.0,2021,Rank,Boy
Jeremiah,321.0,2021,Rank,Boy
Jeremy,790.0,2021,Rank,Boy
Jermaine,3017.0,2021,Rank,Boy
Jerome,1860.0,2021,Rank,Boy
Jerry,1329.0,2021,Rank,Boy
Jesse,64.0,2021,Rank,Boy
Jethro,1688.0,2021,Rank,Boy
Jibran,3990.0,2021,Rank,Boy
Jim,1860.0,2021,Rank,Boy
Jimi,2301.0,2021,Rank,Boy
Jimmy,383.0,2021,Rank,Boy
Joachim,2730.0,2021,Rank,Boy
Joao,1329.0,2021,Rank,Boy
Jobe,3017.0,2021,Rank,Boy
Joby,2493.0,2021,Rank,Boy
Jody,3990.0,2021,Rank,Boy
Joe,465.0,2021,Rank,Boy
Joel,173.0,2021,Rank,Boy
Joey,126.0,2021,Rank,Boy
Johan,1139.0,2021,Rank,Boy
Johann,2493.0,2021,Rank,Boy
Johannes,2493.0,2021,Rank,Boy
John,154.0,2021,Rank,Boy
John-Paul,2301.0,2021,Rank,Boy
Johnathan,1595.0,2021,Rank,Boy
Johnnie,3017.0,2021,Rank,Boy
Johnny,443.0,2021,Rank,Boy
Johnson,4789.0,2021,Rank,Boy
Jon,1688.0,2021,Rank,Boy
Jonah,136.0,2021,Rank,Boy
Jonas,584.0,2021,Rank,Boy
Jonathan,261.0,2021,Rank,Boy
Jonjo,4789.0,2021,Rank,Boy
Jonty,1448.0,2021,Rank,Boy
Jordan,220.0,2021,Rank,Boy
Jordon,3017.0,2021,Rank,Boy
Jorge,963.0,2021,Rank,Boy
Jose,963.0,2021,Rank,Boy
Josef,1595.0,2021,Rank,Boy
Joseff,4789.0,2021,Rank,Boy
Joseph,46.0,2021,Rank,Boy
Josh,598.0,2021,Rank,Boy
Joshua,31.0,2021,Rank,Boy
Josiah,234.0,2021,Rank,Boy
