SITE_UPRN,SITE_NAME,PRIMARY_ADDRESS,STREET,LOCALITY,TOWN,COUNTY,POSTCODE,GIA,EASTING,NORTHING,PARISH,DISTRICT,SUBCLIENT,SITESTATUS,SITEFUNCTIONDETAIL
003701,DUNGEONS FARM,,,,CULLOMPTON,DEVON,EX15 1RE,0,304754.00,105013.00,Cullompton CP,MID DEVON,County Farms estate,Freehold,Small holding - Residential
003801,EAST CATKILL FARM-MAIN FARM SITE,,,ROSE ASH,SOUTH MOLTON,DEVON,EX36 4RQ,0,279451.00,120240.00,Rose Ash CP,NORTH DEVON,County Farms estate,Freehold,Small holding - Residential
003802,EAST CATKILL FARM-BARE LAND LET TO MR LANE,,,ROSE ASH,SOUTH MOLTON,DEVON,EX36 4RQ,,283153.00,121887.00,Knowstone CP,NORTH DEVON,County Farms estate,Freehold,Small holding - Residential
003901,EAST FINGLE FARM,,,CROCKERNWELL,EXETER,DEVON,EX6  6NJ,0,274104.00,91555.00,Drewsteignton CP,WEST DEVON,County Farms estate,Freehold,Small holding - Residential
004001,EAST WEEK FARM - 1,,,SOUTH ZEAL,OKEHAMPTON,DEVON,EX20 2QB,0,266975.00,92230.00,South Tawton CP,WEST DEVON,County Farms estate,Freehold,Small holding - Residential
004101,EAST WEEK FARM - 2,,,SOUTH ZEAL,OKEHAMPTON,DEVON,EX20 2QB,0,266578.00,92208.00,South Tawton CP,WEST DEVON,County Farms estate,Freehold,Small holding land and barns
004401,ENDFIELD FARM,,NEW BUILDINGS,SANDFORD,CREDITON,DEVON,EX17 4PR,0,279508.00,103912.00,Sandford CP,MID DEVON,County Farms estate,Freehold,Small holding - Residential
004501,FAIRFIELD FARM,,,DENBURY,NEWTON ABBOT,DEVON,TQ12 6DU,0,282945.00,68901.00,Denbury and Torbryan CP,TEIGNBRIDGE,County Farms estate,Freehold,Small holding - Residential
004601,FIRSDON - 1,,,ASHREIGNEY,CHULMLEIGH,DEVON,EX18 7PP,0,259043.00,115224.00,Ashreigney CP,TORRIDGE,County Farms estate,Freehold,Small holding - Residential
004801,FROGWELL FARM,,,DIPTFORD,TOTNES,DEVON,TQ9  7NG,0,273913.00,55354.00,Diptford CP,SOUTH HAMS,County Farms estate,Freehold,Small holding - bare land
005001,FURZE BARTON,,,ASHREIGNEY,CHULMLEIGH,DEVON,EX18 7PW,0,259551.00,115456.00,Ashreigney CP,TORRIDGE,County Farms estate,Freehold,Small holding - Residential
005101,FURZE COTTAGES,,,ASHREIGNEY,CHULMLEIGH,DEVON,EX18 7PW,0,259261.00,115705.00,Ashreigney CP,TORRIDGE,County Farms estate,Freehold,Small holding - Residential
005401,GLEBE FARM,,,RATTERY,SOUTH BRENT,DEVON,TQ10 9LD,0,274066.00,61149.00,Rattery CP,SOUTH HAMS,County Farms estate,Freehold,Small holding land and barns
005501,GREAT STONE FARM-MAIN FARM SITE,,EXETER ROAD,,SOUTH MOLTON,DEVON,EX36 4HX,0,269242.00,125138.00,South Molton CP,NORTH DEVON,County Farms estate,Freehold,Small holding - Residential
005502,GREAT STONE FARM-LAND TRANSFERRED FROM LITTLE  STONE FARM,,EXETER ROAD,,SOUTH MOLTON,DEVON,EX36 4HX,,269275.00,124704.00,,NORTH DEVON,County Farms estate,Freehold,Small holding - Residential
005503,GREAT STONE FARM-LAND TRANSFERRED FROM WORTHY FARM,,EXETER ROAD,,SOUTH MOLTON,DEVON,EX36 4HX,,269271.00,124699.00,South Molton CP,NORTH DEVON,County Farms estate,Freehold,Small holding - Residential
005601,LAND REMAINING AT GREENHILLS FARM,,,WEST ANSTEY,SOUTH MOLTON,DEVON,EX36 3NU,,284430.00,127154.00,,NORTH DEVON,County Farms estate,Freehold,Small holding - bare land
005701,HIGHER ARTISCOMBE FARM-MAIN FARM SITE,,,GULWORTHY,TAVISTOCK,DEVON,PL19 8NN,0,244732.00,73806.00,Gulworthy CP,WEST DEVON,County Farms estate,Freehold,Small holding - Residential
005704,HIGHER ARTISCOMBE FARM-LAND FROM THREE OAKS FARM,,,GULWORTHY,TAVISTOCK,DEVON,PL19 8NN,,244675.00,74375.00,,WEST DEVON,County Farms estate,Freehold,Small holding - Residential
005801,HIGHER BRADAFORD FARM,,,VIRGINSTOWE,BEAWORTHY,DEVON,EX21 5DX,0,238985.00,94122.00,,TORRIDGE,County Farms estate,Freehold,Small holding - Residential
006101,HIGHER FINGLE FARM,,,CROCKERNWELL,EXETER,DEVON,EX6  6NP,0,274341.00,91899.00,Drewsteignton CP,WEST DEVON,County Farms estate,Freehold,Small holding - Residential
006301,HIGHER HENLAND FARM-MAIN FARM SITE,,,KENTISBEARE,CULLOMPTON,DEVON,EX15 2DR,0,308475.00,107685.00,Kentisbeare CP,MID DEVON,County Farms estate,Freehold,Small holding - Residential
006302,HIGHER HENLAND FARM-LAND TRANSFERRED FROM HOLLIS AND LOWER HENLADE FARMS,,,KENTISBEARE,CULLOMPTON,DEVON,EX15 2DR,0,308543.00,108080.00,Kentisbeare CP,MID DEVON,County Farms estate,Freehold,Small holding - Residential
006501,HIGHER LEIGH FARM,,,CHURCHSTOWE,KINGSBRIDGE,DEVON,TQ7  4AF,0,272063.00,46104.00,Churchstow CP,SOUTH HAMS,County Farms estate,Freehold,Small holding - Residential
006701,HIGHER SLADE FARM,,,,ILFRACOMBE,DEVON,EX34 8LJ,0,250576.00,146438.00,Ilfracombe CP,NORTH DEVON,County Farms estate,Freehold,Small holding - Residential
006901,HIGHLANDS FARM-MAIN FARM SITE,,,KINGSTON,KINGSBRIDGE,DEVON,TQ7  4HD,0,266476.00,49059.00,Bigbury CP,SOUTH HAMS,County Farms estate,Freehold,Small holding - Residential
006902,HIGHLANDS FARM-LAND TRANSFERRED FROM LOWER CUMERY FARM,,,KINGSTON,KINGSBRIDGE,DEVON,TQ7  4HD,,266665.00,49298.00,,SOUTH HAMS,County Farms estate,Freehold,Small holding - Residential
007301,HURLDITCH FARM,,,LAMERTON,TAVISTOCK,DEVON,PL19 8QA,0,244221.00,77268.00,Lamerton CP,WEST DEVON,County Farms estate,Freehold,Small holding - Residential
007501,KERSWELL FARM,,,DIPTFORD,TOTNES,DEVON,TQ9  7PF,0,273975.00,58664.00,South Brent CP,SOUTH HAMS,County Farms estate,Freehold,Small holding - Residential
007901,LITTLE ALLERCOMBE FARM,,,ROCKBEARE,EXETER,DEVON,EX5  2HD,0,304856.00,94119.00,Rockbeare CP,EAST DEVON,County Farms estate,Freehold,Small holding land and barns
008201,LITTLE STONE FARM-MAIN FARM SITE,,EXETER ROAD,,SOUTH MOLTON,DEVON,EX36 4HX,0,268745.00,125099.00,South Molton CP,NORTH DEVON,County Farms estate,Freehold,Small holding - Residential
008202,LITTLE STONE FARM-LAND TRANSFERRED FROM COMBREW FARM,,EXETER ROAD,,SOUTH MOLTON,DEVON,EX36 4HX,,268558.00,124810.00,South Molton CP,NORTH DEVON,County Farms estate,Freehold,Small holding - Residential
008203,LITTLE STONE FARM-LAND TRANSFERRED FROM WORTHY FARM,,EXETER ROAD,,SOUTH MOLTON,DEVON,EX36 4HX,,268718.00,124429.00,South Molton CP,NORTH DEVON,County Farms estate,Freehold,Small holding - Residential
008301,LOWER ALMINSTONE FARM,,,WOOLSERY,BIDEFORD,DEVON,EX39 5PX,0,234863.00,120650.00,Woolfardisworthy (Torridge) CP,TORRIDGE,County Farms estate,Freehold,Small holding - Residential
008401,LOWER BARTON FARM,,,AYLESBEARE,EXETER,DEVON,EX5  2BS,0,303597.00,92356.00,Aylesbeare CP,EAST DEVON,County Farms estate,Leasehold,Small holding - Residential
009101,LOWER FARM-MAIN FARM SITE,,,"HIGH BICK, UMBERLEIGH",HIGH BICKINGTON,DEVON,EX37 9AY,0,259578.00,120184.00,High Bickington CP,TORRIDGE,County Farms estate,Freehold,Small holding - Residential
009102,LOWER FARM-LAND TRANSFERRED FROM LITTLE BICKINGTON FARM,,,"HIGH BICK, UMBERLEIGH",HIGH BICKINGTON,DEVON,EX37 9AY,,260203.00,120253.00,,TORRIDGE,County Farms estate,Freehold,Small holding - Residential
009201,LOWER HENLAND,,,KENTISBEARE,CULLOMPTON,DEVON,EX15 2DR,0,309011.00,107693.00,Kentisbeare CP,MID DEVON,County Farms estate,Freehold,Small holding - Residential
009301,LOWER KERSWELL FARM,,,DIPTFORD,TOTNES,DEVON,TQ9  7PF,0,273613.00,58812.00,South Brent CP,SOUTH HAMS,County Farms estate,Freehold,Small holding - Residential
009501,LOWER NORTHCHURCH FARM,,,YARNSCOMBE,BARNSTAPLE,DEVON,EX31 3LL,0,256307.00,124451.00,,TORRIDGE,County Farms estate,Freehold,Small holding - Residential
009601,LOWER PARKS FARM,,,PARKS ESTATE,CREDITON,DEVON,EX17 3PR,0,283241.00,99669.00,Crediton CP,MID DEVON,County Farms estate,Freehold,Small holding - Residential
009701,LOWER PILEHAYES FARM-MAIN FARM SITE,,,WOODBURY SALTERTON,EXETER,DEVON,EX5 1QE,0,300358.00,88453.00,,EAST DEVON,County Farms estate,Freehold,Small holding - Residential
009702,LOWER PILEHAYES FARM-LAND TRANSFERRED FROM COOKS FARM,,,WOODBURY SALTERTON,EXETER,DEVON,EX5 1QE,,300817.00,88546.00,,EAST DEVON,County Farms estate,Freehold,Small holding - Residential
009801,LOWER UPPACOTT FARM,,,MARIANSLEIGH,SOUTH MOLTON,DEVON,EX36 4LW,0,275654.00,121675.00,Mariansleigh CP,NORTH DEVON,County Farms estate,Freehold,Small holding - Residential
009901,MANOR FARM,,,HOLCOMBE,DAWLISH,DEVON,EX7  0JT,0,295005.00,74667.00,Dawlish CP,TEIGNBRIDGE,County Farms estate,Freehold,Small holding - Residential
010001,MARKHAMS FARM-MAIN FARM SITE,,,SHILLINGFORD ABBOT,EXETER,DEVON,EX2  9QJ,0,290713.00,88880.00,Shillingford St. George CP,TEIGNBRIDGE,County Farms estate,Freehold,Small holding - Residential
010002,MARKHAMS FARM-OPTION LAND,,,SHILLINGFORD ABBOT,EXETER,DEVON,EX2  9QJ,,291908.00,89367.00,,EXETER,County Farms estate,Freehold,Small holding - Residential
010101,MERRYFIELD FARM,,,,HOLSWORTHY,DEVON,EX22 7BN,0,235594.00,106488.00,Holsworthy Hamlets CP,TORRIDGE,County Farms estate,Freehold,Small holding - Residential
010401,MIDDLE WINSHAM FARM,,,WINSHAM,BRAUNTON,DEVON,EX33 2LX,0,249714.00,139266.00,Braunton CP,NORTH DEVON,County Farms estate,Freehold,Small holding - Residential
010501,MIDDLE YEO FARM,,DOWN ST MARY,,CREDITON,DEVON,EX17 6EE,0,273390.00,104767.00,Down St. Mary CP,MID DEVON,County Farms estate,Freehold,Small holding - Residential
010601,MIXING BARN FARM,,,BOVEY TRACEY,NEWTON ABBOT,DEVON,TQ13 9NR,0,280316.00,81804.00,Bovey Tracey CP,TEIGNBRIDGE,County Farms estate,Freehold,Small holding - Residential
010701,MOORHOUSE FARM,,,BOVEY TRACEY,NEWTON ABBOT,DEVON,TQ13 9NT,0,280818.00,81650.00,Bovey Tracey CP,TEIGNBRIDGE,County Farms estate,Freehold,Small holding - Residential
010801,NEW FORD FARM-MAIN FARM SITE,,,MARSH GREEN,EXETER,DEVON,EX5  2LU,1650.00,304077.00,93079.00,,EAST DEVON,County Farms estate,Mixed Tenure,Small holding - Residential
010802,NEW FORD FARM-LAND AT WESTCOTT,,,MARSH GREEN,EXETER,DEVON,EX5  2EX,,303754.00,93916.00,,EAST DEVON,County Farms estate,Freehold,Small holding - Residential
010901,NEW GULLIFORD FARM,,,"MAMHEAD, KENTON",DAWLISH,DEVON,EX6  8HH,0,295222.00,79827.00,Dawlish CP,TEIGNBRIDGE,County Farms estate,Freehold,Small holding - Residential
011001,NEW STANDON FARM-MAIN FARM SITE,,,BRIDESTOWE,OKEHAMPTON,DEVON,EX20 4ET,0,250918.00,88661.00,Bridestowe CP,WEST DEVON,County Farms estate,Freehold,Small holding - Residential
011002,NEW STANDON FARM-LAND TRANSFERRED FROM STANDON FARM,,,BRIDESTOWE,OKEHAMPTON,DEVON,EX20 4ET,,250840.00,88224.00,Bridestowe CP,WEST DEVON,County Farms estate,Freehold,Small holding - Residential
011201,NORTH GROUND,,,MILTON ABBOT,TAVISTOCK,DEVON,PL19 0PZ,0,243223.00,80500.00,Milton Abbot CP,WEST DEVON,County Farms estate,Freehold,Small holding - Residential
011301,NORTH HELE FARM,,,BUCKLAND BREWER,BIDEFORD,DEVON,EX39 5LZ,0,242744.00,119581.00,Buckland Brewer CP,TORRIDGE,County Farms estate,Freehold,Small holding - Residential
011401,NUTCOMBE FARM,,,ASH MILL,SOUTH MOLTON,DEVON,EX36 4QT,0,280360.00,121130.00,Rose Ash CP,NORTH DEVON,County Farms estate,Freehold,Small holding - Residential
011601,PARKS FARM,,,,CREDITON,DEVON,EX17 3PR,0,282943.00,99383.00,,MID DEVON,County Farms estate,Freehold,Small holding - Residential
011901,PRIXFORD BARTON-MAIN FARM SITE,,,MARWOOD,BARNSTAPLE,DEVON,EX31 4DX,0,254355.00,136316.00,Marwood CP,NORTH DEVON,County Farms estate,Freehold,Small holding - Residential
011902,PRIXFORD BARTON-BARE LAND ADJACENT TO MARWOOD PRIMARY SCHOOL,,,MARWOOD,BARNSTAPLE,DEVON,EX31 4DX,,254815.00,138709.00,Marwood CP,NORTH DEVON,County Farms estate,Freehold,Small holding - Residential
011903,PRIXFORD BARTON-LAND FORMERLY OVERCROCKERS AND WHIDDON FARMS,,,MARWOOD,BARNSTAPLE,DEVON,EX31 4DX,,255320.00,138273.00,Marwood CP,NORTH DEVON,County Farms estate,Freehold,Small holding - Residential
012101,LOMANS FARM,,,BROADHEMPSTON,TOTNES,DEVON,TQ9  6AU,0,280402.00,64968.00,Broadhempston CP,TEIGNBRIDGE,County Farms estate,Freehold,Small holding - Residential
012301,SLADE FARM,,,,NORTH TAWTON,DEVON,EX20 2DR,0,267001.00,101973.00,North Tawton CP,WEST DEVON,County Farms estate,Freehold,Small holding - Residential
012401,SMITHS CROSS FARM,,,DREWSTEIGNTON,EXETER,DEVON,EX6 6PU,0,272466.00,91454.00,Drewsteignton CP,WEST DEVON,County Farms estate,Freehold,Small holding - Residential
012501,SOUTHACOTT FARM,,,"MARIANSLEIGH, MESHAW",SOUTH MOLTON,DEVON,EX36 4NR,0,275160.00,121068.00,Mariansleigh CP,NORTH DEVON,County Farms estate,Freehold,Small holding - Residential
012601,SOUTHCOTT FARM-MAIN FARM SITE,,,SOUTHCOTT,OKEHAMPTON,DEVON,EX20 4NL,0,254602.00,95095.00,Okehampton Hamlets CP,WEST DEVON,County Farms estate,Freehold,Small holding - Residential
012602,SOUTHCOTT FARM-LAND TRANSFERRED FROM MIDDLE SOUTHCOTT FARM,,,SOUTHCOTT,OKEHAMPTON,DEVON,EX20 4NL,,254784.00,95415.00,,WEST DEVON,County Farms estate,Freehold,Small holding - Residential
012701,GREAT SOUTHDOWN FARM-MAIN FARM SITE,,,BURLESCOMBE,TIVERTON,DEVON,EX16 7LA,0,307842.00,115143.00,Burlescombe CP,MID DEVON,County Farms estate,Freehold,Small holding - Residential
012702,GREAT SOUTHDOWN FARM-FORMER LITTLE SOUTHDOWN AND LOWER ELMS LAND,,,BURLESCOMBE,TIVERTON,DEVON,EX16 7LA,,307325.00,114842.00,,MID DEVON,County Farms estate,Freehold,Small holding - Residential
012801,SOUTHWOODS FARM,,,ASHILL,CULLOMPTON,DEVON,EX15 3NS,0,308611.00,111625.00,Uffculme CP,MID DEVON,County Farms estate,Freehold,Small holding - bare land
013201,STUCKEY FARM NATURE RESERVE,,,"DRAYFORD, EAST WORLINGTON",TIVERTON,DEVON,EX17 4SL,,278018.00,113823.00,Witheridge CP,NORTH DEVON,County Farms estate,Freehold,Woodland
013301,LAND REMAINING AT TALE HOUSE FARM,,HIGHER TALE,PAYHEMBURY,HONITON,DEVON,EX14 3HJ,,306126.00,101501.00,Payhembury CP,EAST DEVON,County Farms estate,Freehold,Small holding - Residential
013401,TAPPS FARM,,,KNOWLE,COPPLESTONE,DEVON,EX17 5BX,0,277961.00,101780.00,Copplestone CP,MID DEVON,County Farms estate,Freehold,Small holding - Residential
013501,TARRANTS FARM,,HIGHER TALE,PAYHEMBURY,HONITON,DEVON,EX14 3HJ,0,307073.00,101698.00,Payhembury CP,EAST DEVON,County Farms estate,Freehold,Small holding - Residential
013601,TEN OAKS FARM-MAIN FARM SITE,,,ROBOROUGH,WINKLEIGH,DEVON,EX19 8TX,0,255717.00,116941.00,Roborough CP,TORRIDGE,County Farms estate,Freehold,Small holding - Residential
013602,TEN OAKS FARM-LAND TRANSFERRED FROM NEWCOMBES AND GLEBE FARMS,,,ROBOROUGH,WINKLEIGH,DEVON,EX19 8TX,,257672.00,117003.00,,TORRIDGE,County Farms estate,Freehold,Small holding - Residential
013901,THORNDON HOUSE FARM,,,ASHWATER,BEAWORTHY,DEVON,EX21 5HD,0,240625.00,93923.00,Broadwoodwidger CP,TORRIDGE,County Farms estate,Freehold,Small holding - Residential
014001,THORNE FARM-MAIN FARM SITE,,OTTERY ST MARY,,OTTERY ST MARY,DEVON,EX11 1QZ,,308545.00,95334.00,Ottery St. Mary CP,EAST DEVON,County Farms estate,Freehold,Small holding - bare land
014002,THORNE FARM-EXETER AIRPORT OUTER MARKER BEACON,,OTTERY ST MARY,,OTTERY ST MARY,DEVON,EX11 1QZ,,308740.00,95536.00,,EAST DEVON,County Farms estate,Freehold but entirely leased off by others,Small holding - bare land
014201,TOPSHAYES FARM,,,AYLESBEARE,EXETER,DEVON,EX5  2DA,0,304367.00,92415.00,Aylesbeare CP,EAST DEVON,County Farms estate,Leasehold,Small holding - Residential
014401,UPPATON FARM,,,MILTON ABBOT,TAVISTOCK,DEVON,PL19 0QA,0,243747.00,80233.00,Milton Abbot CP,WEST DEVON,County Farms estate,Freehold,Small holding - Residential
014901,WESTCOTT FARM-INCLUDES PART PUGHAM FARM,,,WESTLEIGH,TIVERTON,DEVON,EX16 7EW,0,305588.00,116133.00,Burlescombe CP,MID DEVON,County Farms estate,Freehold,Small holding - Residential
014902,WESTCOTT FARM-LAND TRANSFERRED FROM KILNVIEW FARM,,,WESTLEIGH,TIVERTON,DEVON,EX16 7EW,,305646.00,116827.00,Burlescombe CP,MID DEVON,County Farms estate,Freehold,Small holding - Residential
015101,HIGHER WILMINSTONE FARM,,,,TAVISTOCK,DEVON,PL19 0JT,,249002.00,75999.00,Tavistock CP,WEST DEVON,County Farms estate,Freehold,Small holding - bare land
015301,MONKERTON FARM,,PINN LANE,PINHOE,EXETER,DEVON,EX1  3RG,,296108.00,93626.00,Exeter,EXETER,County Farms estate,Freehold,Held for future sale
017501,LOWER EAST WEEK,,,SOUTH ZEAL,OKEHAMPTON,DEVON,EX20 2QB,0,266600.00,91750.00,South Tawton CP,WEST DEVON,County Farms estate,Freehold,Small holding - Residential
019601,WHITSON FARM,,,TAMERTON FOLIOT,PLYMOUTH,DEVON,PL5  4LQ,0,247648.00,61496.00,Bickleigh (South Hams) CP,SOUTH HAMS,County Farms estate,Freehold,Held for future sale
020001,CREDITON PARK ESTATE ACCESS LANE SITES,,PARK ESTATE,,CREDITON,DEVON,EX17 3PR,,283709.00,99495.00,Crediton CP,MID DEVON,County Farms estate,Freehold,Private lane
022701,FARM LAND DAWLISH OS 0274/1372,,C/O 9 PORT ROAD,,DAWLISH,DEVON,EX7  0NX,,296065.00,79603.00,Dawlish CP,TEIGNBRIDGE,County Farms estate,Freehold,Small holding - bare land
023101,BERE FERRERS PARISH ALLOTMENTS-BERE FERRERS ALLOTMENT SITE OS 6467 & 7253,,,BERE FERRERS,YELVERTON,DEVON,PL20 7JJ,,244831.00,66333.00,Bere Ferrers CP,WEST DEVON,County Farms estate,Freehold but entirely leased off by others,Allotments and gardens
023102,BERE FERRERS PARISH ALLOTMENTS-BERE ALSTON ALLOTMENT SITE OS 8435,,,BERE FERRERS,YELVERTON,DEVON,PL20 7JJ,,245678.00,63635.00,,WEST DEVON,County Farms estate,Freehold but entirely leased off by others,Allotments and gardens
025101,APPLEDORE LIBRARY,,,THE QUAY,APPLEDORE,DEVON,EX39 1QS,51.00,246526.00,130445.00,Northam CP,TORRIDGE,Library & Information Services,Leasehold,Library
025201,ASHBURTON LIBRARY,,NORTH STREET,THE OLD TOWN HALL,ASHBURTON,DEVON,TQ13 7QG,56.00,275517.00,69930.00,Ashburton CP,TEIGNBRIDGE,Library & Information Services,Leasehold,Library
025301,BAMPTON LIBRARY,2,NEWTON SQUARE,,BAMPTON,DEVON,EX16 9NE,28.00,295724.00,122301.00,Bampton CP,MID DEVON,Library & Information Services,Leasehold,Library
025501,BIDEFORD LIBRARY,,NEW ROAD,,BIDEFORD,DEVON,EX39 2HR,263.00,245425.00,126445.00,Bideford CP,TORRIDGE,Library & Information Services,Memo of Arrangement / User Agreement,Library
025601,BRAUNTON LIBRARY,,CHALONERS ROAD,,BRAUNTON,DEVON,EX33 2ES,140.00,248759.00,136677.00,Braunton CP,NORTH DEVON,Library & Information Services,Leasehold,Library
025801,BUCKFASTLEIGH LIBRARY,,,"TOWN HALL, BOSSELL ROAD",BUCKFASTLEIGH,DEVON,TQ11 0DD,53.00,273789.00,66041.00,Buckfastleigh CP,TEIGNBRIDGE,Library & Information Services,Leasehold,Library
025901,BUDLEIGH SALTERTON LIBRARY,,STATION ROAD,,BUDLEIGH SALTERTON,DEVON,EX9  6RH,132.00,306173.00,81997.00,Budleigh Salterton CP,EAST DEVON,Library & Information Services,Freehold,Library
026001,CHAGFORD LIBRARY,,,JUBILEE HALL,CHAGFORD,DEVON,TQ13 8DP,51.00,270155.00,87438.00,Chagford CP,WEST DEVON,Library & Information Services,Memo of Arrangement / User Agreement,Library
026201,COLYTON LIBRARY,,HIGH STREET,,COLYTON,DEVON,EX24 6NQ,59.00,324586.00,93944.00,Colyton CP,EAST DEVON,Library & Information Services,Freehold,Library
026301,COMBE MARTIN LIBRARY,,WESTBOURNE TERRACE,HIGH STREET,COMBE MARTIN,DEVON,EX34 0EQ,86.00,258440.00,146614.00,Combe Martin CP,NORTH DEVON,Library & Information Services,Freehold,Library
026401,CREDITON LIBRARY,,,BELLE PARADE,CREDITON,DEVON,EX17 2AA,244.00,283402.00,100384.00,Crediton CP,MID DEVON,Library & Information Services,Freehold,Library
026801,DAWLISH LIBRARY,1,LAWN TERRACE,,DAWLISH,DEVON,EX7  9PY,266.00,295927.00,76733.00,Dawlish CP,TEIGNBRIDGE,Library & Information Services,Freehold,Library
027201,EXETER CENTRAL LIBRARY,,CASTLE STREET,,EXETER,DEVON,EX4  3PQ,3825.00,292077.00,92837.00,Exeter,EXETER,Library & Information Services,Freehold,Library
027301,HOLSWORTHY LIBRARY,,NORTH ROAD,,HOLSWORTHY,DEVON,EX22 6HA,90.00,234338.00,103892.00,Holsworthy CP,TORRIDGE,Library & Information Services,Freehold,Library
027401,HONITON LIBRARY,48-50,NEW STREET,,HONITON,DEVON,EX14 1BS,415.00,316429.00,100500.00,Honiton CP,EAST DEVON,Library & Information Services,Freehold,Library
027701,KINGSKERSWELL LIBRARY,1,NEWTON ROAD,,KINGSKERSWELL,DEVON,TQ12 5EH,68.00,288109.00,67862.00,Kingskerswell CP,TEIGNBRIDGE,Library & Information Services,Freehold,Library
